trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
255,False,"{'a': 0.2, 'e': 0.022979628324522102}",25,19,10.330045881051348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.2, 'e': 0.0225246011967789}",20,0,18.42506846434134,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
257,False,"{'a': 0.2, 'e': 0.02207858420984643}",20,8,19.574160639604568,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.2, 'e': 0.021641398950982948}",20,0,36.77577382673873,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.2, 'e': 0.021212870540255693}",30,20,21.507162943279894,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.2, 'e': 0.02079282756058658}",20,4,17.37958762248019,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.2, 'e': 0.020381101989183106}",20,12,13.937477640661125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.2, 'e': 0.019977529130326948}",25,19,9.484347453028128,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,9.824031669316797,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,30.819314524743127,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,12,10.082258551444077,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,16,26.143946025273298,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,10,27.543734930033988,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,6,32.483252914397056,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,11,22.036300603690695,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,4,25.096453013115394,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,11,28.472215823730807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,21.444784575965464,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,3,23.255870900047988,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,15,19.158710415443462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,16,5.298716327550714,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,5,24.96626217521332,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,0,30.277183838225657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,12,16.02024597198629,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,6,26.732393227098683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,6,25.631948940967913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,7,30.49277038956533,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,5,26.664964347575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
