trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.99508237582063974, 'a': 0.5}",20,0,-142.30072109385046,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
43,False,"{'e': 0.9946217528261514, 'a': 0.5}",30,0,-90.84346147995907,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
44,False,"{'e': 0.9941182393190785, 'a': 0.5}",20,0,-115.23064983564608,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
45,False,"{'e': 0.99356789153308123, 'a': 0.5}",20,0,-198.16190081919942,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
46,False,"{'e': 0.99296641284500486, 'a': 0.5}",25,0,-223.42333800747406,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
47,False,"{'e': 0.9923091241184917, 'a': 0.5}",20,0,-123.74025610927723,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
48,False,"{'e': 0.99159093193403691, 'a': 0.5}",30,0,-207.99145333877723,"{0: 13, 1: 4, 2: 10, 3: 1, 4: 2}",0
49,False,"{'e': 0.99080629463271197, 'a': 0.5}",25,0,-139.2692717106297,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
50,False,"{'e': 0.98994918611652638, 'a': 0.5}",20,0,-93.96883518849938,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
51,False,"{'e': 0.98901305736940681, 'a': 0.5}",30,12,-76.08860023649834,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 0}",1
52,False,"{'e': 0.98799079569007253, 'a': 0.5}",20,0,-138.83676133400053,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
53,False,"{'e': 0.98687468166289716, 'a': 0.5}",30,0,-138.71672340779622,"{0: 16, 1: 6, 2: 4, 3: 4, 4: 0}",0
54,False,"{'e': 0.98565634393651191, 'a': 0.5}",25,0,-144.6899144668264,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
55,False,"{'e': 0.98432671193395138, 'a': 0.5}",35,0,-294.4658792859996,"{0: 16, 1: 5, 2: 8, 3: 2, 4: 4}",0
